CODIGO;UF;COD_MUNICIPIO;NOME_MUNICIPIO;COD_UNIDADE;NOME_UNIDADE;ENDERECO;REGIAO;latitude;longitude;leitos;qtd_infectados
466;280030;SE;Aracaju;6599559;COMPAJAF;RUA 37 - 1501;SANTA MARIA;-10.90954;-37.07477;8;4
347;280030;SE;Aracaju;25674;US AMELIA LEITE;RUA TENENTE WENDEL QUARANTA - 1863;SUISSA;-10.91722;-37.06284;10;2
422;280030;SE;Aracaju;3210634;US ANALIA PINA DE ASSIS ALM TAMANDARE;AV AYRTON SENNA - S/N;SANTOS DUMONT;-10.9009;-37.08229;13;9
277;280030;SE;Aracaju;2453;US ANTONIO ALVES ATALAIA;RUA FIRMINO FONTES - S/N;ATALAIA;-10.9828;-37.05413;23;10
386;280030;SE;Aracaju;2600366;US AUGUSTO FRANCO;RUA H 5 - S/N;FAROLANDIA;-10.98807;-37.05345;18;4
300;280030;SE;Aracaju;2364;US CANDIDA ALVES SANTO ANTONIO;RUA SAO JOAO - S/N;SANTO ANTONIO;-10.89718;-37.05731;30;8
286;280030;SE;Aracaju;3395;US CARLOS HARDMAN CORTES SOLEDADE;AVENIDA CARLOS MARQUES - S/N;SOLEDADE;-10.88533;-37.08028;26;6
212;280030;SE;Aracaju;2658488;US CELSO DANIEL SANTA MARIA;TRAVESSA 5 - S/N;SANTA MARIA;-10.97657;-37.09407;29;8
302;280030;SE;Aracaju;2763;US DONA JOVEM AZEVEDO INDUSTRIAL;RUA ALTAMIRA - S/N;INDUSTRIAL;-10.89451;-37.05132;27;1
254;280030;SE;Aracaju;2410;US DONA SINHAZINHA GRAGERU;AVENIDA HERMES FONTES - S/N;GRAGERU;-10.94247;-37.06314;7;2
291;280030;SE;Aracaju;2577;US EDEZIO VIEIRA DE MELO SIQUEIRA CAMPOS;RUA PARAIBA - S/N;SIQUEIRA CAMPOS;-10.911;-37.072;12;0
292;280030;SE;Aracaju;2550;US ELIZABETE PITA TERRA DURA;RUA B - 14;TERRA DURA;-10.99291;-37.10233;13;9
120;280030;SE;Aracaju;3603;US EUNICE BARBOSA DE OLIVEIRA;RUA BEIRA RIO - 92;COQUEIRAL;-10.86993;-37.05654;8;10
257;280030;SE;Aracaju;2461;US FERNANDO SAMPAIO CASTELO BRANCO;AV SAO JOAO BATISTA - 986;PONTO NOVO;-10.93269;-37.07722;25;4
5;280030;SE;Aracaju;2526;US FRANCISCO FONSECA DEZOITO DO FORTE;AV ALVARO MARCIEL - 296;DEZOITE DE FORTE;-10.89602;-37.06284;15;5
318;280030;SE;Aracaju;2291;US GERALDO MAGELA DE MENEZES SAO CONRADO;CENTRAL IV - S/N;SAO CONRADO;-10.96896;-37.08207;28;7
312;280030;SE;Aracaju;2380;US HUGO GURGEL COROA DO MEIO;RUA RENATO FONSECA OLIVEIRA - S/N;COROA DO MEIO;-10.911;-37.072;16;1
283;280030;SE;Aracaju;2445;US HUMBERTO MOURAO GUIMARAES SAO CONRADO;RUA A - S/N;SAO CONRADO;-10.95997;-37.0781;20;3
266;280030;SE;Aracaju;3123;US IRMA CARIDADE ALOQUE;RUA PRINCIPAL - 101;JABOTIANA;-10.94028;-37.08738;7;16
127;280030;SE;Aracaju;3469182;US JOALDO BARBOSA;AV GUANABARA - S/N;AMERICA;-10.92168;-37.07641;19;3
29;280030;SE;Aracaju;3425;US JOAO BEZERRA AREIA BRANCA;ROD JOAO ALVES BEZERRA - S/N;AREIA BRANCA;-11.09281;-37.12453;5;3
316;280030;SE;Aracaju;2542;US JOAO CARDOSO NASCIMENTO JUNIOR JOSE CONRADO DE ARAUJO;RUA ALAGOAS - 2051;JOSE CONRADO DE ARAU;-10.90363;-37.07898;27;10
304;280030;SE;Aracaju;3409;US JOAO DE OLIVEIRA SOBRAL SANTOS DUMONT;RUA SENHOR DO BOMFIM - S/N;SANTOS DUMONT;-10.8949;-37.08623;29;8
195;280030;SE;Aracaju;2798;US JOSE AUGUSTO BARRETO JAPAOZINHO;AV EUCLIDES FIGUEIREDO - S/N;JAPAOZINHO;-10.88306;-37.06645;3;1
314;280030;SE;Aracaju;2771;US JOSE QUINTILIANO DA FONSECA SOBRAL CIDADE NOVA;SANTA TEREZINHA - S/N;CIDADE NOVA;-10.88935;-37.06772;19;9
